author;link;relevant;how;requirements;ind;hier;similarity;skillclass;identified skillclass;skill;identified skill;primitive;identified primitive;parametrizedskill;identified parametrizedskill;task;identified task;request;identified request;process;identified process;arch;impl;param;paramtype
Pane(2020);https://ieeexplore.ieee.org/document/9340985;Y;scoups3-2020;7;-;-;STD;-;-;skill;Cartesian Motion,Force-Based Insertion,Collision Avoidance,Admiittance Motion;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Willibald(2020);https://ieeexplore.ieee.org/document/9341212;Y;scoups3-2020;7,9,11;-;X;STD;-;-;skill;pick,place;-;-;-;-;task;Reorientation, Contact-Based Sorting;-;-;-;-;-;-;-;-
Hyonyoung(2020);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9289373;Y;scoups3-2020;-;-;X;AUT;-;-;unit action;copy move, move, gripOn,gripOff;-;-;-;-;task motion receipe;Pick-and-Place,Peg-in-Hole;-;-;-;-;-;-;X;HUM
Wang(2020);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9283066;Y;scoups3-2020;-;-;-;STD;-;-;-;-;primitive;movement primitives;-;-;assembly;-;-;-;-;-;-;-;X;HUM/MACH
Heuss(2020);https://ieeexplore.ieee.org/document/9212005;Y;scoups3-2020;7,8;-;X;STD;-;-;skill;Pick&place motors, Unsecure, Move,Measure pose;-;-;-;-;-;-;-;-;-;-;X;ROS;-;-
Lankin(2020);https://ieeexplore.ieee.org/document/9442192;Y;scoups3-2020;7,8,9,10;-;X;STD;-;-;compund;LoadPaint, ApplyPaint, NavigateToLocation;primitive;LoadPaint, ArmToZero,ApplyPaint, NavigateToLocation;LoadPaint, ApplyPaint, NavigateToLocation;Start, Destination, Robot (NavigateToLocation) / Paint, Tray, Arm, Robot(LoadPaint)/Paint, Wall, Arm, Robot(ApplyPaint);-;-;-;-;-;-;X;SkiRos,ROS,Gazebo;-;-
Cai(2020);https://ieeexplore.ieee.org/document/9197174;Y;scoups3-2020;7;-;-;STD;-;-;skill;grasp,place,move,pull,pour;-;-;-;geometric constraints and robot and environment constraints;task/skill sequence;-;-;-;-;-;-;-;X;HUM/MACH
Cho(2020);https://www.mdpi.com/2076-3417/10/8/2719;Y;scoups3-2020;7,8;-;-;STD;-;-;skill;Hole search, peg insertion;-;-;motor skill;-;task;Peg-in-Hole;-;-;-;-;X;Python;HMM,DMP, threshold model;HUM/MACH
Sorensen(2020);https://ieeexplore.ieee.org/document/9212072;Y;scoups3-2020;7,8;-;-;STD;-;-;SkillBlock;Big Move Worker,Big Move Screw,Small Move Screw, Small Start Force, Start Screw Driver;SkillBlock;-;-;-;-;-;-;-;-;-;-;-;-;-
Volkmann(2020);https://www.sciencedirect.com/science/article/pii/S2351978920319144?via%3Dihub;Y;scoups3-2020;7,8.9;-;X;STD;-;-;composite skill;drilling a hole, milling a pocket;atomic skill;move linear, start tool with X rpm, tool off, move circular;drilling skill;Position of starting point/center of hole (X, Y, Z),Direction vector of the hole,Diameter,Depth,Angle of a blind hole (depth of blind hole has to be added,the default value of 118?is used);task;manufacturing a part;-;-;-;-;-;Fusion 360 CAD, C++, Python;X;HUM/MACH
Krae(2020);https://www.sciencedirect.com/science/article/pii/S2212827120306089?via%3Dihub;Y;scoups3-2020;7;-;X;-;-;-;skill;Navigate_0_0_1, Transport_20_5_2 ,Detect_1000_0_1, Secure_5_3 Interact_0_0_4;resource;-;-;-;-;-;-;-;-;-;-;-;-;-
Bolano(2020);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9144806;Y;scoups3-2020;7,8;-;-;-;-;-;-;-;-;trajectory, closing gripper, opening gripper;-;-;task;picking and placing;-;-;-;-;-;ROS, FlexBE;-;-
Ding(2020);https://www.mdpi.com/1424-8220/20/19/5505;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
de Alemida(2020);https://link.springer.com/article/10.1007%2Fs40313-020-00629-1;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
de Alemida(2020);https://link.springer.com/article/10.1007%2Fs10846-020-01196-y;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hu(2020);https://ieeexplore.ieee.org/document/9303282;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chang(2020);https://www.mdpi.com/2075-1702/8/3/46/htm;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chang(2020);https://ieeexplore.ieee.org/document/9159044;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tunstel(2020);https://ieeexplore.ieee.org/document/9158905;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Weng(2020);https://www.worldscientific.com/doi/epdf/10.1142/S2301385020500144;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Talli(2020);https://iopscience.iop.org/article/10.1088/1757-899X/872/1/012040;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Evangelista(2020);https://ieeexplore.ieee.org/document/9138179;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Phan(2020);https://www.mdpi.com/1424-8220/20/11/3260;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Zhao(2020);https://link.springer.com/article/10.1007%2Fs41315-020-00138-z;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Leporini(2020);https://ieeexplore.ieee.org/document/9078032;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sirintuna(2020);https://ieeexplore.ieee.org/document/9197288;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gervasi(2020);https://link.springer.com/article/10.1007%2Fs00170-020-05363-1;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Montalvo(2020);https://pure.ups.edu.ec/en/publications/tele-operation-system-for-mobile-robots-using-in-oil-amp-gas-indu;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Weng(2020);https://ieeexplore.ieee.org/document/8669950;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ong(2020);https://www.sciencedirect.com/science/article/abs/pii/S0736584519300250?via%3Dihub;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bhalaji(2020);https://www.sciencedirect.com/science/article/pii/S2214785320347891?via%3Dihub;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dai(2020);https://ieeexplore.ieee.org/document/9307468;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Colim(2020);https://link.springer.com/chapter/10.1007%2F978-3-030-41486-3_41;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Akkaladevi(2020);https://www.sciencedirect.com/science/article/pii/S221282712031475X?via%3Dihub;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
D'Avella(2020);https://www.sciencedirect.com/science/article/pii/S2351978920318801?via%3Dihub;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Akkaladevi(2020);https://www.sciencedirect.com/science/article/pii/S2351978920318771?via%3Dihub;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chigbu(2020);https://www.tandfonline.com/doi/full/10.1080/20421338.2020.1837446;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gervasi(2020);https://iris.polito.it/handle/11583/2846568;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Huang(2020);https://link.springer.com/chapter/10.1007%2F978-3-030-50334-5_22;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Huang(2020);https://link.springer.com/chapter/10.1007%2F978-3-030-25128-4_3;N;scoups3-2020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lopez-Juarez(2016);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7778517;Y;scopus3-2016;7;-;-;-;-;-;skill,capability;assembly, Peg-in-Hole insertion, welding;-;-;-;-;task;assembly;-;-;-;-;-;-;-;MACH
Huanng(2016);https://ieeexplore.ieee.org/document/7759136;Y;scopus3-2016;7,8;-;X;-;-;-;skill;sewing;primitive;motion primitive 1-6;-;-;task;sewing;-;-;-;-;-;OpenCV;-;-
Wantia(2016);https://ieeexplore.ieee.org/document/7733523;Y;scopus3-2016;7,8;-;X;STD;-;action block;action;MovePTP,ResetDigitalOut,MoveLin,SetDigitalOut,MoveLin;-;-;-;-;-;-;-;-;-;-;-;3D simulation, CAD;pose x,pose x1, velocity v,acc a,int o;HUM/MACH
Zhang(2016);https://ieeexplore.ieee.org/document/7606936;Y;scopus3-2016;7,8;-;X;STD;-;action library;action;picking,moving,srewing,pushing,pressing;-;-;-;-;operation;pick-and-place operation, several gripper operation;-;-;-;-;-;RAPID,RobotStudio,ABB robotics;the element of Zernike moments, the elemnt of HOG;HUM
Krueger(2016);https://ieeexplore.ieee.org/document/7440782;Y;scopus3-2016;7,8,9,10;X;X;STD;-;-;skill;picking,grasping,navigation,placing,inspection;primitive;motion,service;-;-;task;kitting;-;-;process;kitting;-;SkiRos,CAD;3-D coordinates;HUM
Pedersen(2016);https://www.sciencedirect.com/science/article/abs/pii/S0736584515000575?via%3Dihub;Y;scopus3-2016;7,8,9,10;X;X;STD;-;-;skill;transportation, multi part feeding, single part feeding,machine tending,assembly,inspection,process,maintenance,repair and overhaul,cleaning;primitive;move,move relative,close gripper,open gripper,search;-;-;task;logistic,assistive,service;-;-;-;-;-;ROS;robot speed, force-pro?les, and compliance;-
Dai(2016);https://ieeexplore.ieee.org/document/7559116;Y;scopus3-2016;7,8,9;-;X;STD;-;-;skill;picking,placeing/Alignment,Push-Insertion,Drop-Insertion,Tilt-Insertion, Snap-fit,Screwing;robot function;compliant control function;-;-;task;assembly;-;-;-;-;-;ABB robot programming language RAPID;the approaching position, the desired motion direction, the maximum force, and optionally the desired motion distance.;-
Jacobsson(2016);https://ieeexplore.ieee.org/document/7559114;Y;scopus3-2016;7,8;-;X;STD;class;rosetta:skill;skill;glueing, welding, riveting or screwing together;primitive(AtomocActions,SimpleActions);pressing force-controlled snapping, screwing a nut;-;-;-;-;-;-;-;-;-;ABB RobotStudio,rosetta,OWL-S;-;-
Anderson(2016);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7559145;Y;scopus3-2016;-;-;X;STD;-;-;skill;pick,place,calibrate to station,navigate to location,inspect quality;Device primitives;Grasp,move robot PTP,move robot LIN,open gripper,drive,capture point cloud,detect distance;-;-;task;pick-and-place;-;-;-;-;-;-;velocity,object classes;HUM/MACH
Orendt(2016);https://ieeexplore.ieee.org/document/7745110;N;scopus3-2016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jientrakul(2016);https://ieeexplore.ieee.org/document/7605021;N;scopus3-2016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tang(2016);https://ieeexplore.ieee.org/document/7576815;N;scopus3-2016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rozo(2016);https://ieeexplore.ieee.org/document/7450630;N;scopus3-2016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hanai(2016);https://www.tandfonline.com/doi/abs/10.1080/01691864.2016.1156575?journalCode=tadr20;N;scopus3-2016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fischer(2016);https://ieeexplore.ieee.org/document/7451754;N;scopus3-2016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rovida(2016);https://www.worldscientific.com/doi/abs/10.1142/9789813149137_0022;N;scopus3-2016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bolmsjo(2016);https://link.springer.com/chapter/10.1007%2F978-3-319-41697-7_23;N;scopus3-2016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ceriani(2016);https://link.springer.com/chapter/10.1007%2F978-3-319-08338-4_93;N;scopus3-2016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pederson(2014);https://ieeexplore.ieee.org/document/6943203;Y;scopus3-2014;7.8,9;X;X;STD;-;-;skill;pick up ,drive to,pick from,place at;-;-;-;-;task/a sequence of skills;pick up,drive to,pick from,place on;-;-;-;-;X;ROS;distance D, 3d position q, normalized pointing vector d;HUM/MACH
Stenmark(2014);https://www.sciencedirect.com/science/article/pii/S1474667016420768?via%3Dihub;Y;scopus3-2014;7,8;-;X;STD;-;-;skill;pick,place;primitive actions;search,locate,move,approach,open gripper,close gripper,move to grasp, move to place,retract;-;-;-;-;-;-;-;-;X;ROS;-;-
Anderson(2014);https://ieeexplore.ieee.org/document/6840115;Y;scopus3-2014;7,10;-;X;STD;-;-;skill;PickAndPlace;primitive actions;MotorPrimitive,PerceptionPrimitive,excutePrimitive;-;-;task;-;-;-;-;-;-;-;Object, ObjectPoseEst and PlacePose.;-
Anderson(2014);https://ieeexplore.ieee.org/document/7295147;Y;scopus3-2014;7,8;-;-;-;-;-;skill;pick;-;-;-;-;-;-;-;-;-;-;-;RANSAC;camera pose,orientation of the gripper, the vectoe used for approaching and leaving;-
Cheng(2014);https://ieeexplore.ieee.org/document/6931195;N;scopus3-2014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Abhaya(2014);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6993188;N;scopus3-2014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Verner(2014);https://ieeexplore.ieee.org/document/6926330;N;scopus3-2014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ng(2014);https://ieeexplore.ieee.org/document/6907031;N;scopus3-2014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chen(2014);https://ieeexplore.ieee.org/document/7090386;N;scopus3-2014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Kober (2014;https://link.springer.com/chapter/10.1007%2F978-3-319-03194-1_1;N;scopus3-2014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Klingbeil(2014);https://ieeexplore.ieee.org/document/6775438;N;scopus3-2014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Verner(2014);https://ieeexplore.ieee.org/document/8542602;N;scopus3-2014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Eich(2014);https://onlinelibrary.wiley.com/doi/10.1002/rob.21491;N;scopus3-2014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rovida(2018);https://ieeexplore.ieee.org/document/8594319;Y;scopus3-2018;8, 9;X;-;STD;-;-;Skill;Shake, push, checkcollision;Primitives, skill primitives;Motion (skill) primitive;Parametrized robotic skills;Picking or placing an object;Task;Insertion, assembly;-;-;Process;Planning;-;ROS;-;MACH
Topp(2018);https://ieeexplore.ieee.org/document/8593566;Y;scopus3-2018;9;X;X;STD;-;-;(Parameterized) Motion primitives;MovesWObjs, pick block, move, move to, open, close;Primitives;code;Parametrized skills;-;Task;Assembly;-;-;Process;Assembly processes;-;SkiROS, Rosseta ontology;-;-
Zeng(2018);https://www.emerald.com/insight/content/doi/10.1108/AA-02-2018-019/full/html;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Babu(2018);https://dl.acm.org/doi/10.1145/3279810.3279849;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bruno(2018);https://link.springer.com/article/10.1007/s00170-018-2400-4;Y;scopus3-2018;11;X;X;STD;-;-;Skill;-;-;-;-;-;Task;Tool retrieval, inserting clamp, welding, fixing support;-;-;Process;Welding;-;-;-;HUM
Schou(2018);https://www.sciencedirect.com/science/article/abs/pii/S0736584516301910;Y;scopus3-2018;7, 8, 10;X;-;STD;Skill Library;-;Skill;-;-;-;-;-;Task;peg-in-hole operations;-;-;Process;-;-;-;-;MACH
Pearce(2018);https://ieeexplore.ieee.org/document/8278841;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wang(2018);https://ieeexplore.ieee.org/document/8263146;Y;scopus3-2018;-;X;X;STD;The Class Set;-;Skill;Push, take, place, screw, label;-;-;-;-;Task;Picking, assembly;-;-;Process;Assembly, testing, training;-;-;-;HUM/MACH
Teixeira(2018);https://link.springer.com/article/10.1007%2Fs10846-017-0764-6;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Thomas(2018);https://ieeexplore.ieee.org/document/8460696;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hatori(2018);https://ieeexplore.ieee.org/document/8460699;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nagele(2018);https://ieeexplore.ieee.org/document/8462885;Y;scopus3-2018;2;X;-;STD;Skill Library;-;Skill;Manipulation skills, screw-driving, push, turn-screwdriver, pick,hold, pose, apply force;Manipulation primitives;-;Parameterized templates;-;Task;-;-;-;-;-;-;-;-;MACH
Chien(2018);https://www.sciencedirect.com/science/article/abs/pii/S107158191830096X?via%3Dihub;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chowdhury(2018);https://ieeexplore.ieee.org/document/7856974;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Steinmetz(2018);https://ieeexplore.ieee.org/document/8269311;Y;scopus3-2018;7, 8, 10;X;X;STD;Base Class;-;Skill;Drilling, pick plate, place plate, hand, pick and place, peg in hole;Device primitives;Motion control;Parameterized skill;-;Task;-;Request;-;Process;-;-;RAZER;x;HUM/MACH
Salah(2018);https://ieeexplore.ieee.org/document/8397794;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Abujelala(2018);https://dl.acm.org/doi/10.1145/3197768.3203171;Y;scopus3-2018;-;X;-;STD;-;-;Skill;-;-;-;-;-;-;-;Request;-;-;-;-;-;-;-
Wei(2018);https://ieeexplore.ieee.org/document/8394295;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lopez-Juarez(2018);https://ieeexplore.ieee.org/document/8390472;Y;scopus3-2018;8, 9;X;-;STD;-;-;Skill;Grasping irregular objects, gripping;-;-;-;-;Task;-;-;-;-;-;-;Motive;-;MACH
Michael(2018);https://ieeexplore.ieee.org/document/8342650;Y;scopus3-2018;7, 8;X;-;STD;-;-;Skill;-;-;-;-;-;-;-;-;-;-;-;-;ABB robot controller software;-;MACH
Huang(2018);https://ieeexplore.ieee.org/document/8113497;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
No author available(2018);https://www.scopus.com/record/display.uri?eid=2-s2.0-85054342487er=scopubyr%2c%222018%22%2ct&sl=79&s=TITLE-ABS-KEY+%28+robot+w%2f15+skill+AND+%28+industrial+OR+manufacturing+%29+AND+task+%29&relpos=21&citeCnt=0&searchTerm=;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
D'Haro(2018);https://ieeexplore.ieee.org/document/8282005;Y;scopus3-2018;8;X;-;STD;-;-;Skill;-;-;-;-;-;Task;-;Request;-;-;-;-;ROS;-;HUM/MACH
Castellanos(2018);https://ieeexplore.ieee.org/document/8285207;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bitonneau(2018);https://ieeexplore.ieee.org/document/8279363;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rasheed(2018);https://ieeexplore.ieee.org/document/8277629;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gluck(2018);https://www.scitepress.org/Link.aspx?doi=10.5220/0006884806050612;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Verner(2018);https://link.springer.com/chapter/10.1007%2F978-3-319-64352-6_34;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cramer(2018);https://www.sciencedirect.com/science/article/pii/S2212827118312502?via%3Dihub;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Liu(2018);https://www.scopus.com/record/display.uri?eid=2-s2.0-85058969621&origin=resultslist&sort=plf-f&src=s&sid=bf2844c78b5c2a36e0f007b95f34bad9&sot=a&sdt=a&cluster=scopubyr%2c%222018%22%2ct&sl=79&s=TITLE-ABS-KEY+%28+robot+w%2f15+skill+AND+%28+industrial+OR+manufacturing+%29+AND+task+%29&relpos=29&citeCnt=0&searchTerm=;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Negrete(2018);http://proceedings.spiiras.nw.ru/ojs/index.php/sp/article/view/3932;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
De Gear Fernandez(2018);https://ebooks.iospress.nl/publication/50428;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hertle(2018);https://link.springer.com/chapter/10.1007%2F978-3-030-00111-7_8;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cesta(2018);https://www.sciencedirect.com/science/article/pii/S2212827118301215?via%3Dihub;Y;scopus3-2018;7, 8, 11;X;-;STD;-;-;Skill;-;-;-;-;-;Task;-;-;-;-;-;-;-;-;HUM/MACH
Seo(2018);https://link.springer.com/article/10.1007%2Fs12369-017-0441-8;N;scopus3-2018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Liu(2017);https://ieeexplore.ieee.org/document/8228384;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Matsunaga(2017);https://ieeexplore.ieee.org/document/8216487;N;scopus3-2017;-;-;-;-;-;-;Robotic function;motion scaling, hand shaking correction;-;-;-;-;Task;Surgical tasks;-;-;-;-;-;-;-;-
Yahya(2017);https://ieeexplore.ieee.org/document/8202141;Y;scopus3-2017;-;-;-;STD;-;-;Skill;Motion skills, robotic motor skills, door opening skill;Primitives;-;-;-;Task;-;-;-;Process;Learning process, training process;-;-;-;-
Kharidege(2017);https://link.springer.com/article/10.1007%2Fs00170-017-0726-y;Y;scopus3-2017;8;X;-;STD;-;-;Skill;-;-;-;-;-;Task;Burr removal;-;-;Process;Manual operation, polishing, robot calibration;-;RoboGuide, Abaques 6.10;X;HUM
Mueller(2017);https://saemobilus.sae.org/content/2017-01-2096/;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ersen(2017);https://ieeexplore.ieee.org/document/7894169;Y;scopus3-2017;6, 8 ;-;-;STD;-;-;Skill;Cognitive, manipulation, knowledge-processing skills;Primitives;Behavior primitives, pushing, grasping, movement primitives;-;-;Task;Manipulation tasks;Request;-;Process;Robot cognition;X;ROS;-;-
Jha(2017);https://link.springer.com/article/10.1007%2Fs40430-016-0662-z;Y;scopus3-2017;11;X;-;AUT;-;-;Skill;Robot motion, spray painting, arc welding;-;-;-;-;Task;-;-;-;Process;Mapping process, imitation process;X;Kinect-based human motion capture system (HMCS), Matlab;X;HUM
Delhaisse(2017);https://ieeexplore.ieee.org/document/7966379;Y;scopus3-2017;-;-;-;STD;-;-;Skill;Bimanual skills;Primitives;Motion primitives;Parametrized policies;-;Task;Complex manipulation tasks, executing a task from human;-;-;Process;Gaussian process, training process, optimization process;-;-;-;-
Rovida(2017);https://link.springer.com/chapter/10.1007%2F978-3-319-54927-9_4;Y;scopus3-2017;7, 8;X;-;AUT;Skill set;-;Skill;Drive, pick, place (drive-pick-place);Primitives;Sequential or parallel, locate, object registration, arm motion, registration, gripper ctrl, learning primitives, object train, grasping, placing, driving pose learn;Parametrized skills;-;Task;Kitting task, sequences of skills, developing and maintaining a large skill set;Request;Execution;Process;Sequencing the skills automaticaly using a task planner, research process, development process;X;SkiROS;X;HUM/MACH
Ng(2017);https://ieeexplore.ieee.org/document/7273980;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stenmark(2017);https://dl.acm.org/doi/pdf/10.1145/2909824.3020227;Y;scopus3-2017;10;X;-;STD;-;-;Skills, Parameterized motion primitives;Pick-and-place (picking and placing);Primitives;Manipulation, dynamic movemement;Parameterized Primitives / Motions;Gift-wrapping application;Task;Building;Request;-;Process;Programming, wrapping, execution;-;-;-;-
Mohammed(2017);https://dl.acm.org/doi/10.1145/3029798.3034823;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lin(2017);https://ieeexplore.ieee.org/document/7810316 ;N;scopus3-2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Johannsmeier(2017);https://ieeexplore.ieee.org/document/7421993;Y;scopus3-2017;3;X;X;STD;-;-;Skill;Pick-up, assemble, hand-over, collision handling;-;-;-;-;Task;-;Request;Performing specific action to an agent, request for an interaction, replanning request;Process;Assembly process, control process, generation process of assembly plans;X;-;-;-
Stenmark(2017) II.;https://www.aaai.org/ocs/index.php/FSS/FSS17/paper/viewFile/16021/15290;Y;scopus3-2017;-;X;-;STD;-;-;Motion primitive, skill;-;Primitives;Motion types, gripper actions, synchronization point, synchronized motions, native code;Parametrized skills;-;Task;Insert a lid on ;-;-;Process;Assembly, programming;-;-;-;-
Crosby(2017);https://www.aaai.org/ocs/index.php/ICAPS/ICAPS17/paper/viewFile/15715/15138;Y;scopus3-2017;7, 8;X;-;STD;-;-;Skill, Re-occuring actions;Drive and pick, Drive skill;Primitives;Motion primitives;-;-;Task;-;Request;-;Process;Task-planning, translation process;-;ROS, SkiROS (Skills-ROS);-;-
